city,name,rating,review_count,categories
Denver,Kodiac Brewery,4.5,21,Brewpubs
Denver,12 Degree Brewing,4.5,194,Pizza
Denver,12 Degree Brewing,4.5,194,Brewpubs
Denver,Dry Dock Brewing,4.5,428,Breweries
Denver,Dry Dock Brewing,4.5,428,Venues & Event Spaces
Denver,Locavore Beer Works,4.5,185,Breweries
Denver,The Old Mine,4.5,195,Cideries
Denver,The Old Mine,4.5,195,Brewpubs
Denver,The Old Mine,4.5,195,American (Traditional)
Denver,Landlocked Ales,4.5,52,Breweries
Denver,Banded Oak Brewing Company,4.5,77,Breweries
Denver,Banded Oak Brewing Company,4.5,77,Beer Bar
Denver,Vision Quest Brewery,4.5,46,Breweries
Denver,Westbound & Down Mill,4.5,13,Brewpubs
Denver,Westbound & Down Mill,4.5,13,American (Traditional)
Denver,Baere Brewing Company,4.5,136,Breweries
Denver,Upslope Brewing Company - Flatiron Park,4.5,116,Breweries
Denver,Barquentine Brewing Company,4.5,40,Breweries
Denver,Barquentine Brewing Company,4.5,40,Beer Bar
Denver,Barquentine Brewing Company,4.5,40,Beer Gardens
Denver,Resolute Brewing,4.5,181,Beer Gardens
Denver,Resolute Brewing,4.5,181,Breweries
Denver,Resolute Brewing,4.5,181,Beer Bar
Denver,Lowdown Brewery + Kitchen,4.5,562,Breweries
Denver,Lowdown Brewery + Kitchen,4.5,562,American (New)
Denver,Lowdown Brewery + Kitchen,4.5,562,Pizza
Denver,Call To Arms Brewing Company,4.5,119,Breweries
Denver,Denver Beer Co South Downing,4.5,54,Breweries
Denver,Denver Beer Co South Downing,4.5,54,American (New)
Denver,Briar Common Brewery + Eatery,4.5,506,American (New)
Denver,Briar Common Brewery + Eatery,4.5,506,Breweries
Denver,Briar Common Brewery + Eatery,4.5,506,Venues & Event Spaces
Denver,Big Choice Brewing,4.5,115,Breweries
Denver,Big Choice Brewing,4.5,115,Pizza
Denver,Sunroom Brewing,4.5,12,Breweries
Denver,Diebolt Brewing Company,4.5,115,Breweries
Denver,4 Noses Brewing Company,4.5,289,Breweries
Denver,Oasis Brewing Company,4.5,64,Brewpubs
Denver,Oasis Brewing Company,4.5,64,Beer Gardens
Denver,Oasis Brewing Company,4.5,64,Beer Bar
Denver,Odyssey Beerwerks Brewery & Taproom,4.5,128,Breweries
Denver,Odyssey Beerwerks Brewery & Taproom,4.5,128,Beer Bar
Denver,Station 26 Brewing,4.5,391,Breweries
Denver,Ratio Beerworks,4.5,319,Breweries
Denver,Ratio Beerworks,4.5,319,Beer Bar
Denver,Grandma's House,4.5,222,Breweries
Denver,Grandma's House,4.5,222,Venues & Event Spaces
Denver,Liquid Mechanics Brewing,4.5,107,Breweries
Denver,Liquid Mechanics Brewing,4.5,107,Venues & Event Spaces
Denver,Liquid Mechanics Brewing,4.5,107,Beer Gardens
Denver,Green Mountain Beer Company,4.5,141,Breweries
Denver,Green Mountain Beer Company,4.5,141,Food Trucks
Denver,Green Mountain Beer Company,4.5,141,Beer Bar
Denver,Great Divide Brewing Company,4.5,1074,Pubs
Denver,Great Divide Brewing Company,4.5,1074,Breweries
Denver,Great Divide Brewing Company,4.5,1074,Beer Bar
Denver,Ratio Beerworks,4.5,7,Brewpubs
Denver,Ratio Beerworks,4.5,7,Beer Bar
Denver,Uhl's Brewing,4.5,21,Breweries
Denver,Living The Dream Brewing,4.5,214,Breweries
Denver,Zuni Street Brewing Company,4.5,151,Breweries
Denver,Wild Provisions Beer Project,4.5,18,Breweries
Denver,Denver Beer Company,4.5,11,Breweries
Denver,Coal Mine Ave Brewing Company,4.5,68,Breweries
Denver,Gravity Brewing,4.5,110,Breweries
Denver,Lone Tree Brewing,4.5,209,Breweries
Denver,New Image Brewing - Arvada,4.5,265,Breweries
Denver,Halfpenny Brewing,4.5,101,Breweries
Denver,Halfpenny Brewing,4.5,101,Venues & Event Spaces
Denver,Crooked Stave Friends & Family,4.5,292,Breweries
Denver,Crooked Stave Friends & Family,4.5,292,Beer Bar
Denver,Fiction Beer Company -Parker,5.0,2,Beer Bar
Denver,Fiction Beer Company -Parker,5.0,2,Breweries
Denver,Fiction Beer Company -Parker,5.0,2,Kombucha
Denver,WestFax Brewing Company,4.0,97,Breweries
Denver,WestFax Brewing Company,4.0,97,Beer Bar
Denver,Cannonball Creek Brewing Company,4.0,207,Breweries
Denver,Over Yonder Brewing,4.0,55,Breweries
Denver,Kokopelli Beer Company,4.0,277,Breweries
Denver,LUKI Brewery,4.0,26,Breweries
