categories,name,rating,review_count,location,coordinates,city
"['Gay Bars', 'Breakfast & Brunch', 'Tapas Bars']",Kings Bar,5.0,5,"{'address1': '70-04 Roosevelt Ave', 'address2': None, 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['70-04 Roosevelt Ave', 'Jackson Heights, NY 11372']}","{'latitude': 40.74621, 'longitude': -73.89517}",NewYork
"['Golf', 'Sports Bars']",9 Degree Golf Simulator Bar & Restaurant,5.0,10,"{'address1': '1642 Schlosser St', 'address2': 'Fl 2', 'address3': None, 'city': 'Fort Lee', 'zip_code': '07024', 'country': 'US', 'state': 'NJ', 'display_address': ['1642 Schlosser St', 'Fl 2', 'Fort Lee, NJ 07024']}","{'latitude': 40.85053590553489, 'longitude': -73.96987706422806}",NewYork
"['Cocktail Bars', 'Venues & Event Spaces']",66 GREENPOINT,5.0,7,"{'address1': '66 Greenpoint Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['66 Greenpoint Ave', 'Brooklyn, NY 11222']}","{'latitude': 40.72968, 'longitude': -73.95835}",NewYork
"['Sports Clubs', 'Lounges', 'Team Building Activities']",QBK Sports,5.0,17,"{'address1': '41-20 39th St', 'address2': 'First Floor', 'address3': '', 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['41-20 39th St', 'First Floor', 'Sunnyside, NY 11104']}","{'latitude': 40.7469223, 'longitude': -73.9257375}",NewYork
"['Cocktail Bars', 'Whiskey Bars', 'Beer Bar']",Albert's Bar,5.0,13,"{'address1': '140 E 41st St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['140 E 41st St', 'New York, NY 10017']}","{'latitude': 40.750341, 'longitude': -73.976134}",NewYork
"['Greek', 'Wine Bars', 'Cocktail Bars']",Selene,5.0,15,"{'address1': '11 Hanover Sq', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['11 Hanover Sq', 'New York, NY 10005']}","{'latitude': 40.705139, 'longitude': -74.008846}",NewYork
['Bars'],Phil's,5.0,44,"{'address1': '695 Knickerbocker Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['695 Knickerbocker Ave', 'Brooklyn, NY 11221']}","{'latitude': 40.69467, 'longitude': -73.910586}",NewYork
['Beer Bar'],Sweet Avenue,5.0,14,"{'address1': '40-05 Queens Blvd', 'address2': '', 'address3': None, 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['40-05 Queens Blvd', 'Sunnyside, NY 11104']}","{'latitude': 40.7440144, 'longitude': -73.923524}",NewYork
"['Breakfast & Brunch', 'American (New)', 'Wine Bars']",The Grand Feast,5.0,14,"{'address1': '854 Amsterdam Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['854 Amsterdam Ave', 'New York, NY 10025']}","{'latitude': 40.797851, 'longitude': -73.967989}",NewYork
"['Golf', 'Venues & Event Spaces', 'Sports Bars']",Five Iron Golf,5.0,65,"{'address1': '138 5th Ave', 'address2': 'Fl 4', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['138 5th Ave', 'Fl 4', 'New York, NY 10011']}","{'latitude': 40.7389238418137, 'longitude': -73.9917182922363}",NewYork
"['Tobacco Shops', 'Lounges', 'Cocktail Bars']",Jimenez Tobacco,5.0,85,"{'address1': '31 Liberty St', 'address2': '', 'address3': '', 'city': 'Newark', 'zip_code': '07102', 'country': 'US', 'state': 'NJ', 'display_address': ['31 Liberty St', 'Newark, NJ 07102']}","{'latitude': 40.7314720153809, 'longitude': -74.1686706542969}",NewYork
['Bars'],Gadfly Bar,5.0,16,"{'address1': '258 West 15th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['258 West 15th St', 'New York, NY 10011']}","{'latitude': 40.740053, 'longitude': -74.001653}",NewYork
['Wine Bars'],Musette Wine Bar,5.0,8,"{'address1': '420 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10037', 'country': 'US', 'state': 'NY', 'display_address': ['420 Malcolm X Blvd', 'New York, NY 10037']}","{'latitude': 40.81156, 'longitude': -73.9424}",NewYork
['Pubs'],DaviD's,5.0,8,"{'address1': '76 Forsyth St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['76 Forsyth St', 'New York, NY 10002']}","{'latitude': 40.71725, 'longitude': -73.99329}",NewYork
['Bars'],Bleu on Broad,5.0,15,"{'address1': '330 Broad Ave', 'address2': None, 'address3': '', 'city': 'Palisades Park', 'zip_code': '07650', 'country': 'US', 'state': 'NJ', 'display_address': ['330 Broad Ave', 'Palisades Park, NJ 07650']}","{'latitude': 40.84902, 'longitude': -73.99667}",NewYork
"['Tobacco Shops', 'Cigar Bars']",Leafs Cigar Lounge,5.0,14,"{'address1': '185 Madison Ave', 'address2': '', 'address3': '', 'city': 'New Milford', 'zip_code': '07646', 'country': 'US', 'state': 'NJ', 'display_address': ['185 Madison Ave', 'New Milford, NJ 07646']}","{'latitude': 40.940874319078, 'longitude': -74.02213438861706}",NewYork
['Sports Bars'],The Borderline Tavern,5.0,7,"{'address1': '244-18 Jericho Tpke', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11001', 'country': 'US', 'state': 'NY', 'display_address': ['244-18 Jericho Tpke', 'Floral Park, NY 11001']}","{'latitude': 40.7247009, 'longitude': -73.7228165}",NewYork
['Cocktail Bars'],South Soho Bar,5.0,7,"{'address1': '191 Centre St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['191 Centre St', 'New York, NY 10013']}","{'latitude': 40.718685, 'longitude': -73.999765}",NewYork
['Tiki Bars'],Shaka Shaka Tiki,5.0,35,"{'address1': '64 6th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['64 6th Ave', 'Brooklyn, NY 11217']}","{'latitude': 40.68098, 'longitude': -73.97456}",NewYork
"['Cocktail Bars', 'Lounges', 'Tapas/Small Plates']",Everything's Jake,5.0,7,"{'address1': '54 E 13th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['54 E 13th St', 'New York, NY 10003']}","{'latitude': 40.73417, 'longitude': -73.99165}",NewYork
"['Tobacco Shops', 'Lounges']",Davidoff of Geneva Brooklyn,5.0,39,"{'address1': '156 Broadway', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['156 Broadway', 'Brooklyn, NY 11211']}","{'latitude': 40.70995, 'longitude': -73.96315}",NewYork
"['Lounges', 'Arcades', 'Speakeasies']",The Upstairs at 66,5.0,25,"{'address1': '46 Stone St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['46 Stone St', 'New York, NY 10004']}","{'latitude': 40.70418, 'longitude': -74.01048}",NewYork
['Pubs'],Breifne Pub,5.0,6,"{'address1': '169-04 Crocheron Ave', 'address2': '', 'address3': '', 'city': 'Flushing', 'zip_code': '11358', 'country': 'US', 'state': 'NY', 'display_address': ['169-04 Crocheron Ave', 'Flushing, NY 11358']}","{'latitude': 40.7625885, 'longitude': -73.7968521}",NewYork
"['Golf', 'Sports Bars', 'Venues & Event Spaces']",Five Iron Golf,5.0,24,"{'address1': '22 Stone St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['22 Stone St', 'New York, NY 10004']}","{'latitude': 40.7041736028743, 'longitude': -74.0105148450791}",NewYork
"['Bars', 'American (Traditional)', 'Steakhouses']",Chillin' Bar and Grill,5.0,6,"{'address1': '1263 St Nicholas Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10033', 'country': 'US', 'state': 'NY', 'display_address': ['1263 St Nicholas Ave', 'New York, NY 10033']}","{'latitude': 40.8443381715375, 'longitude': -73.9375953376293}",NewYork
['Bars'],Myrtle Pub,5.0,6,"{'address1': '56-53 Myrtle Ave', 'address2': None, 'address3': '', 'city': 'Queens', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['56-53 Myrtle Ave', 'Queens, NY 11385']}","{'latitude': 40.70048, 'longitude': -73.90405}",NewYork
