city,name,rating,review_count,categories,categories_encoded
Denver,Green Mountain Beer Company,4.5,141,Beer Bar,67
Denver,Great Divide Brewing Company,4.5,1074,Pubs,469
Denver,Great Divide Brewing Company,4.5,1074,Breweries,96
Denver,Great Divide Brewing Company,4.5,1074,Beer Bar,67
Denver,Ratio Beerworks,4.5,7,Brewpubs,98
Denver,Ratio Beerworks,4.5,7,Beer Bar,67
Denver,Uhl's Brewing,4.5,21,Breweries,96
Denver,Living The Dream Brewing,4.5,214,Breweries,96
Denver,Zuni Street Brewing Company,4.5,151,Breweries,96
Denver,Wild Provisions Beer Project,4.5,18,Breweries,96
Denver,Denver Beer Company,4.5,11,Breweries,96
Denver,Coal Mine Ave Brewing Company,4.5,68,Breweries,96
Denver,Gravity Brewing,4.5,110,Breweries,96
Denver,Lone Tree Brewing,4.5,209,Breweries,96
Denver,New Image Brewing - Arvada,4.5,265,Breweries,96
Denver,Halfpenny Brewing,4.5,101,Breweries,96
Denver,Halfpenny Brewing,4.5,101,Venues & Event Spaces,605
Denver,Crooked Stave Friends & Family,4.5,292,Breweries,96
Denver,Crooked Stave Friends & Family,4.5,292,Beer Bar,67
Denver,Fiction Beer Company -Parker,5.0,2,Beer Bar,67
Denver,Fiction Beer Company -Parker,5.0,2,Breweries,96
Denver,Fiction Beer Company -Parker,5.0,2,Kombucha,328
Denver,WestFax Brewing Company,4.0,97,Breweries,96
Denver,WestFax Brewing Company,4.0,97,Beer Bar,67
Denver,Cannonball Creek Brewing Company,4.0,207,Breweries,96
Denver,Over Yonder Brewing,4.0,55,Breweries,96
Denver,Kokopelli Beer Company,4.0,277,Breweries,96
Denver,LUKI Brewery,4.0,26,Breweries,96
Denver,BURLY Brewing Company,4.0,102,Beer Bar,67
Denver,BURLY Brewing Company,4.0,102,Brewpubs,98
Denver,Westminster Brewing,4.0,74,Breweries,96
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Indian,303
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Himalayan/Nepalese,279
Denver,Yak and Yeti Restaurant and Brewpub,4.0,1077,Breweries,96
Denver,Downhill Brewing,4.0,169,Breweries,96
Denver,Jagged Mountain Craft Brewery,4.0,334,Breweries,96
Denver,Southern Sun Pub & Brewery,4.0,500,Pubs,469
Denver,Southern Sun Pub & Brewery,4.0,500,Burgers,104
Denver,Southern Sun Pub & Brewery,4.0,500,Breweries,96
Denver,Odd13 Brewing,4.0,164,Breweries,96
Denver,Colorado Brewery Bus,4.0,45,Breweries,96
Denver,Colorado Brewery Bus,4.0,45,Tours,585
Denver,Sanitas Brewing Company,4.0,160,Breweries,96
Denver,Sanitas Brewing Company,4.0,160,Venues & Event Spaces,605
Denver,Golden City Brewery,4.0,237,Breweries,96
Denver,Strange Craft Beer Company,4.0,207,Breweries,96
Denver,Ursula Brewery,4.0,111,Breweries,96
Denver,TRVE Brewing,4.0,270,Breweries,96
Denver,TRVE Brewing,4.0,270,Bars,58
Denver,Fiction Beer Company,4.0,184,Breweries,96
Denver,Chain Reaction Brewing Company,4.0,90,Breweries,96
Denver,Novel Strand Brewing Company,4.0,45,Breweries,96
Denver,Two22 Brew,4.0,133,Breweries,96
Denver,Renegade Brewing Company,4.0,290,Breweries,96
Denver,Comrade Brewing,4.0,221,Breweries,96
Denver,Blue Moon Brewing Company,4.0,664,Brewpubs,98
Denver,Cerebral Brewing,4.0,274,Breweries,96
Denver,Cerebral Brewing,4.0,274,Beer Bar,67
Denver,Cerebral Brewing,4.0,274,Pubs,469
Denver,Yak and Yeti,4.0,213,Indian,303
Denver,Yak and Yeti,4.0,213,Himalayan/Nepalese,279
Denver,Yak and Yeti,4.0,213,Brewpubs,98
Denver,14er Brewing,4.0,72,Breweries,96
Denver,Colorado Plus Brew Pub,4.0,377,Breweries,96
Denver,Colorado Plus Brew Pub,4.0,377,Pubs,469
Denver,Colorado Plus Brew Pub,4.0,377,American (New),15
Denver,Platt Park Brewing,4.0,176,Breweries,96
Denver,Denver Beer Co,4.0,679,Breweries,96
Denver,Denver Beer Co,4.0,679,Venues & Event Spaces,605
Denver,Great Frontier Brewing Company,4.0,53,Breweries,96
Denver,Spice Trade Brewing,4.0,9,"Beer, Wine & Spirits",70
Denver,Spice Trade Brewing,4.0,9,Breweries,96
Denver,Redgarden Restaurant And Brewery,4.0,66,Breweries,96
Denver,Redgarden Restaurant And Brewery,4.0,66,American (Traditional),16
Denver,Redgarden Restaurant And Brewery,4.0,66,Soup,531
Denver,Blue Spruce Brewing - Littleton,4.0,58,Breweries,96
Denver,The Post Chicken & Beer,4.0,277,Breweries,96
Denver,The Post Chicken & Beer,4.0,277,Chicken Shop,134
Denver,The Post Chicken & Beer,4.0,277,American (New),15
Denver,Resolute Brewing Tap & Cellar,4.0,24,Breweries,96
Denver,Long Table Brewhouse,4.0,77,Breweries,96
Denver,Twisted Pine Brewing Company,4.0,348,Breweries,96
Denver,Twisted Pine Brewing Company,4.0,348,American (Traditional),16
Denver,Elevated Seltzer,4.0,54,Brewpubs,98
Denver,Prost Brewing Co & Biergarten - Highlands Ranch,4.0,96,Beer Gardens,68
Denver,Prost Brewing Co & Biergarten - Highlands Ranch,4.0,96,Breweries,96
Denver,Mountain Toad Brewing,4.0,234,Breweries,96
Denver,Joyride Brewing,4.0,271,Breweries,96
Denver,Joyride Brewing,4.0,271,Beer Gardens,68
Denver,Joyride Brewing,4.0,271,Beer Bar,67
Denver,Denver Beer Co Olde Town Arvada,4.0,123,Breweries,96
Denver,Breckenridge Brewery,4.0,305,Breweries,96
Denver,Spice Trade Brewery & Kitchen,4.0,205,Brewpubs,98
Denver,Prost Brewing,4.0,364,Breweries,96
Denver,Prost Brewing,4.0,364,Beer Gardens,68
Denver,Prost Brewing,4.0,364,German,249
Denver,Dry Dock Brewing - North Dock,4.0,43,Breweries,96
Denver,Dry Dock Brewing - North Dock,4.0,43,Venues & Event Spaces,605
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Breweries,96
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Sandwiches,494
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Delis,187
Denver,The Post Chicken & Beer,4.0,810,Breweries,96
Denver,The Post Chicken & Beer,4.0,810,American (New),15
Denver,The Post Chicken & Beer,4.0,810,Chicken Shop,134
Denver,Bull & Bush,4.0,927,American (Traditional),16
Denver,Bull & Bush,4.0,927,Breweries,96
Denver,Bull & Bush,4.0,927,Pubs,469
Denver,Branch & Barrel Distilling,5.0,1,Distilleries,194
Denver,Branch & Barrel Distilling,5.0,1,Wine Tours,632
Denver,Branch & Barrel Distilling,5.0,1,Breweries,96
Denver,Wild Blue Yonder Brewing,4.0,274,Brewpubs,98
Denver,The Source,4.0,295,Food Court,232
Denver,The Source,4.0,295,Breweries,96
Denver,The Source,4.0,295,Food Stands,234
Denver,J Moe's Brewing Company,4.0,40,Brewpubs,98
Denver,Our Mutual Friend Brewing Company,4.0,329,Breweries,96
Denver,Lariat Lodge Brewing,4.0,508,Brewpubs,98
Denver,Lariat Lodge Brewing,4.0,508,American (Traditional),16
Denver,Lariat Lodge Brewing,4.0,508,Venues & Event Spaces,605
Denver,Hogshead Brewery,4.0,188,Breweries,96
Denver,Great Divide Barrel Bar,4.0,122,Breweries,96
Denver,Great Divide Barrel Bar,4.0,122,Beer Bar,67
Denver,Great Divide Barrel Bar,4.0,122,Beer Tours,69
Denver,So Many Roads Museum and Brewery,4.0,15,Music Venues,384
Denver,So Many Roads Museum and Brewery,4.0,15,Breweries,96
Denver,So Many Roads Museum and Brewery,4.0,15,Museums,381
Denver,Black Sky Brewery,4.0,215,Breweries,96
Denver,Black Sky Brewery,4.0,215,Pizza,444
Denver,FlyteCo Tower,4.0,73,Breweries,96
Denver,FlyteCo Tower,4.0,73,Mini Golf,373
Denver,FlyteCo Tower,4.0,73,Pizza,444
Denver,Grist Brewing,4.0,163,Breweries,96
Denver,Blue Spruce Brewing - Centennial,4.0,233,Breweries,96
Denver,Grange Food Hall,4.0,104,American (Traditional),16
Denver,Grange Food Hall,4.0,104,Cocktail Bars,154
Denver,Grange Food Hall,4.0,104,Breweries,96
Denver,Bierstadt Lagerhaus,4.0,153,Breweries,96
Denver,Good River Beer,4.5,2,Breweries,96
Denver,Tivoli Brewing Company,3.5,123,Breweries,96
Denver,Oskar Blues - Denver,3.5,341,Brewpubs,98
Denver,Oskar Blues - Denver,3.5,341,American (New),15
Denver,Oskar Blues - Denver,3.5,341,Burgers,104
Denver,Wynkoop Brewing,3.5,1450,American (Traditional),16
Denver,Wynkoop Brewing,3.5,1450,Brewpubs,98
Denver,Wynkoop Brewing,3.5,1450,Tacos,562
Denver,Windfall Brewing,3.5,76,Steakhouses,548
Denver,Windfall Brewing,3.5,76,Breweries,96
Denver,Windfall Brewing,3.5,76,American (New),15
Denver,Lariat Lodge Brewing Company,3.5,131,Breweries,96
Denver,Lariat Lodge Brewing Company,3.5,131,Burgers,104
Denver,Lariat Lodge Brewing Company,3.5,131,Sandwiches,494
Denver,Wonderland Brewing,3.5,233,Breweries,96
Denver,Frolic Brewing,3.5,125,Breweries,96
Denver,Pints Pub,3.5,377,British,99
Denver,Pints Pub,3.5,377,Brewpubs,98
Denver,Echo Brewing,3.5,96,Pizza,444
Denver,Echo Brewing,3.5,96,Breweries,96
Denver,Boulder Social,3.5,44,American (New),15
Denver,Boulder Social,3.5,44,Brewpubs,98
Denver,Boulder Social,3.5,44,Pizza,444
Denver,Pint Brothers,3.5,54,Breweries,96
Denver,Rockyard Brewing Company,3.5,604,American (Traditional),16
Denver,Rockyard Brewing Company,3.5,604,Breweries,96
Denver,Rockyard Brewing Company,3.5,604,Burgers,104
Denver,Rock Bottom Restaurant & Brewery,3.5,836,Breweries,96
Denver,Rock Bottom Restaurant & Brewery,3.5,836,Sports Bars,542
Denver,Rock Bottom Restaurant & Brewery,3.5,836,American (Traditional),16
Denver,Rock Bottom Restaurant & Brewery,3.5,181,American (Traditional),16
Denver,Rock Bottom Restaurant & Brewery,3.5,181,Breweries,96
Denver,New Belgium Brewing,3.5,93,Breweries,96
Denver,New Belgium Brewing,3.5,93,Beer Bar,67
Denver,New Belgium Brewing,3.5,93,Sports Bars,542
Denver,BJ's Restaurant & Brewhouse,3.5,455,Breweries,96
Denver,BJ's Restaurant & Brewhouse,3.5,455,American (New),15
Denver,BJ's Restaurant & Brewhouse,3.5,455,Pizza,444
Denver,BJ's Restaurant & Brewhouse,3.0,90,American (New),15
Denver,BJ's Restaurant & Brewhouse,3.0,90,Breweries,96
Denver,BJ's Restaurant & Brewhouse,3.0,90,Pizza,444
Denver,BJ's Restaurant & Brewhouse,3.0,336,American (New),15
Denver,BJ's Restaurant & Brewhouse,3.0,336,Breweries,96
Denver,Gordon Biersch Brewery Restaurant,3.0,280,Breweries,96
Denver,Gordon Biersch Brewery Restaurant,3.0,280,Bars,58
Denver,Gordon Biersch Brewery Restaurant,3.0,280,American (New),15
Denver,BJ's Restaurant & Brewhouse,3.0,222,American (New),15
Denver,BJ's Restaurant & Brewhouse,3.0,222,Breweries,96
Denver,Great Divide Brewhouse and Kitchen,3.0,202,Brewpubs,98
Denver,Great Divide Brewhouse and Kitchen,3.0,202,Breakfast & Brunch,95
Denver,Great Divide Brewhouse and Kitchen,3.0,202,American (Traditional),16
Denver,Rock Bottom Restaurant & Brewery,3.0,309,Breweries,96
Denver,Rock Bottom Restaurant & Brewery,3.0,309,American (Traditional),16
Denver,Corkscrews Wine Storage,5.0,6,Self Storage,504
Denver,Corkscrews Wine Storage,5.0,6,Wine Tasting Room,631
Denver,Wine Dispensary,5.0,9,"Beer, Wine & Spirits",70
Denver,Wine Dispensary,5.0,9,Wine Tasting Room,631
Denver,Purgatory Cellars,5.0,11,Wine Tasting Room,631
Denver,The Wine Barrel,5.0,31,Wineries,633
Denver,Silver Vines Winery,5.0,12,Wine Tasting Room,631
Denver,Silver Vines Winery,5.0,12,Wine Bars,629
Denver,Ladron Cellars,5.0,17,Wineries,633
Denver,Turquoise Mesa Winery,4.5,28,Wineries,633
Denver,BookCliff Vineyards - Boulder Winery,4.5,26,Wineries,633
Denver,BookCliff Vineyards - Boulder Winery,4.5,26,Venues & Event Spaces,605
Denver,Blanchard Family Wines,4.5,104,Wineries,633
Denver,Blanchard Family Wines,4.5,104,Paint & Sip,406
Denver,Mystic Mountain,4.5,19,Wine Tasting Room,631
Denver,Carboy Winery,4.5,132,Wine Bars,629
Denver,Carboy Winery,4.5,132,Wine Tasting Room,631
Denver,Kingman Estates Winery,4.5,24,Wineries,633
Denver,Kingman Estates Winery,4.5,24,Venues & Event Spaces,605
Denver,Purgatory Cellars Winery,4.5,60,Wine Tasting Room,631
Denver,Settembre Cellars,4.5,11,Wineries,633
Denver,Balistreri Vineyards,4.5,254,Wineries,633
Denver,Balistreri Vineyards,4.5,254,Venues & Event Spaces,605
Denver,The Infinite Monkey Theorem,4.5,253,Wineries,633
Denver,Bigsby's Folly,4.5,242,Wine Tasting Room,631
Denver,Bigsby's Folly,4.5,242,Bars,58
Denver,Bigsby's Folly,4.5,242,Venues & Event Spaces,605
Denver,Creekside Cellars,4.0,211,Wineries,633
Denver,Silver Vines Winery,4.0,129,Wineries,633
Denver,Carboy Winery - Denver,4.0,81,Wine Tasting Room,631
Denver,Carboy Winery - Denver,4.0,81,Wine Bars,629
Denver,Carboy Winery - Denver,4.0,81,Gift Shops,250
Denver,Queen Bee Brews,4.0,18,Wineries,633
Denver,Vinnie Fera Wine,5.0,1,Wineries,633
Denver,Dragon Meadery,4.0,4,Wine Tasting Room,631
Denver,Deep Roots Winery & Bistro Rino,3.5,35,Wineries,633
Denver,Deep Roots Winery & Bistro Rino,3.5,35,Tapas/Small Plates,569
Denver,Deep Roots Winery & Bistro Rino,3.5,35,Pizza,444
Denver,Destiny Dance Studio,5.0,11,Dance Studios,183
Denver,The Dance Art Media Studios,5.0,5,Dance Studios,183
Denver,The Dance Art Media Studios,5.0,5,Performing Arts,426
Denver,Persist Coaching-Personal Training and Nutrition Coaching,5.0,5,Trainers,589
Denver,Alchemy 365 - Tennyson,5.0,8,Interval Training Gyms,309
Denver,Alchemy 365 - Tennyson,5.0,8,Yoga,636
Denver,Avenge Jiu Jitsu,5.0,7,Brazilian Jiu-jitsu,94
Denver,Rocky Mountain Escape Rooms,5.0,5,Escape Games,209
Denver,Superfly Golf Lounge,5.0,5,Golf,255
Denver,Superfly Golf Lounge,5.0,5,Cocktail Bars,154
Denver,Superfly Golf Lounge,5.0,5,Sports Bars,542
Denver,Platinum Plates Fitness,5.0,5,Trainers,589
Denver,Platinum Plates Fitness,5.0,5,Nutritionists,397
Denver,Body Balance Strength & Wellness,5.0,6,Gyms,265
Denver,Body Balance Strength & Wellness,5.0,6,Chiropractors,142
Denver,Body Balance Strength & Wellness,5.0,6,Trainers,589
Denver,JRT Fit,5.0,7,Trainers,589
Denver,JRT Fit,5.0,7,Nutritionists,397
Denver,Anytime Fitness,5.0,17,Trainers,589
Denver,Anytime Fitness,5.0,17,Gyms,265
Denver,Platform Strength,5.0,18,Gyms,265
Denver,Platform Strength,5.0,18,Trainers,589
Denver,Denver Mountain Guiding,5.0,19,Climbing,151
Denver,Denver Mountain Guiding,5.0,19,Rock Climbing,488
Denver,The Local Drive,5.0,13,Golf,255
Denver,The Local Drive,5.0,13,Cocktail Bars,154
Denver,APEX Denver,5.0,18,Kids Activities,324
Denver,APEX Denver,5.0,18,Summer Camps,550
Denver,Koko FitClub of Westminster CO,5.0,5,Trainers,589
Denver,Koko FitClub of Westminster CO,5.0,5,Gyms,265
Denver,Galvin Guiding,5.0,7,Tours,585
Denver,Galvin Guiding,5.0,7,Fishing,224
Denver,212 Performance Gym,5.0,5,Trainers,589
Denver,212 Performance Gym,5.0,5,Gyms,265
Denver,212 Performance Gym,5.0,5,Nutritionists,397
Denver,Axe Whooping,5.0,10,Axe Throwing,48
Denver,303 Escape,5.0,37,Escape Games,209
Denver,Anytime Fitness,5.0,20,Gyms,265
Denver,Anytime Fitness,5.0,20,Trainers,589
Denver,Green Light Reiki Healing and Chakra Balancing,5.0,38,Reiki,483
Denver,Green Light Reiki Healing and Chakra Balancing,5.0,38,Yoga,636
Denver,Green Light Reiki Healing and Chakra Balancing,5.0,38,Meditation Centers,366
Denver,Elite Speed Sports Performance,5.0,6,Sports Clubs,544
Denver,Elite Speed Sports Performance,5.0,6,Trainers,589
Denver,MAGDA Births,5.0,7,Prenatal/Perinatal Care,458
Denver,MAGDA Births,5.0,7,Doulas,202
Denver,MAGDA Births,5.0,7,Yoga,636
Denver,Front Range Ride Guides,5.0,42,Mountain Biking,379
Denver,Front Range Ride Guides,5.0,42,Tours,585
Denver,Conundrum Escape Rooms,5.0,27,Escape Games,209
Denver,Conundrum Escape Rooms,5.0,27,Team Building Activities,574
Denver,The Escapist,5.0,24,Escape Games,209
Denver,Mission Escapes,5.0,99,Escape Games,209
Denver,Mystic Escape Room,5.0,108,Escape Games,209
Denver,Conundrum Escape Rooms,5.0,108,Escape Games,209
Denver,Conundrum Escape Rooms,5.0,108,Team Building Activities,574
Denver,Archery Games Denver,5.0,33,Archery,25
Denver,Archery Games Denver,5.0,33,Kids Activities,324
Denver,Archery Games Denver,5.0,33,Team Building Activities,574
Denver,Iyengar Yoga Center of Boulder,5.0,16,Yoga,636
Denver,Empty Quiver Archery,5.0,52,Archery,25
Denver,Empty Quiver Archery,5.0,52,Sporting Goods,541
Denver,Empty Quiver Archery,5.0,52,Fitness/Exercise Equipment,226
Denver,Club Form Denver,5.0,11,Gyms,265
Denver,Koko FitClub of Ken Caryl,5.0,10,Gyms,265
Denver,Koko FitClub of Ken Caryl,5.0,10,Trainers,589
Denver,Primal Axe House,5.0,30,Axe Throwing,48
