city,name,rating,review_count,categories,location,latitude,longitude
Denver,Kratom by Mile High Botanicals,4.5,16,Traditional Chinese Medicine,"{'address1': '1540 S Holly St', 'address2': 'Ste 5', 'address3': '', 'city': 'Denver', 'zip_code': '80222', 'country': 'US', 'state': 'CO', 'display_address': ['1540 S Holly St', 'Ste 5', 'Denver, CO 80222']}",39.6886246,-104.9220181
Denver,Hill's Harvest,4.5,7,Pumpkin Patches,"{'address1': '3225 E 124th St', 'address2': '', 'address3': '', 'city': 'Thornton', 'zip_code': '80241', 'country': 'US', 'state': 'CO', 'display_address': ['3225 E 124th St', 'Thornton, CO 80241']}",39.921492,-104.9488882
Denver,Bean Fosters,4.5,162,Used Bookstore,"{'address1': '720 Golden Ridge Rd', 'address2': 'Ste D', 'address3': '', 'city': 'Golden', 'zip_code': '80401', 'country': 'US', 'state': 'CO', 'display_address': ['720 Golden Ridge Rd', 'Ste D', 'Golden, CO 80401']}",39.728378,-105.2087449
Denver,Enchanted Grounds,4.5,64,Comic Books,"{'address1': '3615 W Bowles Ave', 'address2': 'Ste 5', 'address3': '', 'city': 'Littleton', 'zip_code': '80123', 'country': 'US', 'state': 'CO', 'display_address': ['3615 W Bowles Ave', 'Ste 5', 'Littleton, CO 80123']}",39.609961,-105.034774
Denver,Redstone Meadery,4.5,69,Meaderies,"{'address1': '4700 Pearl St', 'address2': 'Ste 2A', 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['4700 Pearl St', 'Ste 2A', 'Boulder, CO 80301']}",40.0247116088867,-105.243453979492
Denver,Zero Market,5.0,3,Flea Markets,"{'address1': '5505 W 20th Ave', 'address2': '', 'address3': None, 'city': 'Edgewater', 'zip_code': '80214', 'country': 'US', 'state': 'CO', 'display_address': ['5505 W 20th Ave', 'Edgewater, CO 80214']}",39.74777,-105.05678
Denver,Ifka Cafe,4.5,13,Somali,"{'address1': '1535 S Havana St', 'address2': 'Ste M', 'address3': '', 'city': 'Aurora', 'zip_code': '80247', 'country': 'US', 'state': 'CO', 'display_address': ['1535 S Havana St', 'Ste M', 'Aurora, CO 80247']}",39.688246,-104.867536
Denver,Adobo XO,4.5,18,Filipino,"{'address1': '3109 N Federal Blvd', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['3109 N Federal Blvd', 'Denver, CO 80211']}",39.7610003249286,-105.025530287915
Denver,Aero-Cruise Balloon Adventures,5.0,5,Hot Air Balloons,"{'address1': '890 Hemlock Way', 'address2': None, 'address3': '', 'city': 'Broomfield', 'zip_code': '80020', 'country': 'US', 'state': 'CO', 'display_address': ['890 Hemlock Way', 'Broomfield, CO 80020']}",39.927059,-105.080493
Denver,Titus Adventure Company,5.0,7,RV Rental,"{'address1': '1830 W 64th Ln', 'address2': 'Unit A', 'address3': '', 'city': 'Denver', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['1830 W 64th Ln', 'Unit A', 'Denver, CO 80221']}",39.81548,-105.00906
Denver,Meier Skis,5.0,7,Ski & Snowboard Shops,"{'address1': '1775 S Broadway', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1775 S Broadway', 'Denver, CO 80210']}",39.6843817,-104.9879455
Denver,Cottonwood Farms,4.0,29,Pumpkin Patches,"{'address1': '10600 Isabelle Rd', 'address2': '', 'address3': '', 'city': 'Lafayette', 'zip_code': '80026', 'country': 'US', 'state': 'CO', 'display_address': ['10600 Isabelle Rd', 'Lafayette, CO 80026']}",40.0365115,-105.1052287
Denver,Charter Sports Ski & Snowboard Rentals,5.0,1,Ski & Snowboard Shops,"{'address1': '120 Offerson Rd', 'address2': None, 'address3': None, 'city': 'Avon', 'zip_code': '81620', 'country': 'US', 'state': 'CO', 'display_address': ['120 Offerson Rd', 'Avon, CO 81620']}",39.60742,-106.51723
Denver,Charter Sports Ski & Snowboard Rentals,3.0,11,Ski & Snowboard Shops,"{'address1': '160 W Beaver Creek Blvd', 'address2': '', 'address3': '', 'city': 'Avon', 'zip_code': '81620', 'country': 'US', 'state': 'CO', 'display_address': ['160 W Beaver Creek Blvd', 'Avon, CO 81620']}",39.636642,-106.524932
Denver,Jad’s Mile High Smoke,5.0,6,Cannabis Dispensaries,"{'address1': '7667 Washington St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80229', 'country': 'US', 'state': 'CO', 'display_address': ['7667 Washington St', 'Denver, CO 80229']}",39.835743672529865,-104.97850668845506
Denver,Edgewater Public Market,4.0,229,Flea Markets,"{'address1': '5505 West 20th Ave', 'address2': None, 'address3': '', 'city': 'Edgewater', 'zip_code': '80214', 'country': 'US', 'state': 'CO', 'display_address': ['5505 West 20th Ave', 'Edgewater, CO 80214']}",39.74914922443379,-105.05718245890881
Denver,Garage Sale Vintage,4.5,3,"Used, Vintage & Consignment","{'address1': '390 S Teller St', 'address2': None, 'address3': '', 'city': 'Lakewood', 'zip_code': '80226', 'country': 'US', 'state': 'CO', 'display_address': ['390 S Teller St', 'Lakewood, CO 80226']}",39.709383,-105.07665
