categories,name,rating,review_count,location,coordinates,city
"['Breweries', 'Special Education', 'Pizza']",Brewability & Pizzability ,5.0,99,"{'address1': '3445 S Broadway', 'address2': '', 'address3': None, 'city': 'Englewood', 'zip_code': '80113', 'country': 'US', 'state': 'CO', 'display_address': ['3445 S Broadway', 'Englewood, CO 80113']}","{'latitude': 39.654158, 'longitude': -104.987951}",Denver
"['Breweries', 'Beer Bar']",Holidaily Brewing Company,5.0,13,"{'address1': '5370 Greenwood Plaza Blvd', 'address2': 'Ste 107', 'address3': '', 'city': 'Greenwood Village', 'zip_code': '80111', 'country': 'US', 'state': 'CO', 'display_address': ['5370 Greenwood Plaza Blvd', 'Ste 107', 'Greenwood Village, CO 80111']}","{'latitude': 39.61925, 'longitude': -104.90066}",Denver
"['Brewing Supplies', 'Brewpubs']",The Brew Hut,5.0,121,"{'address1': '15120 E Hampden Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['15120 E Hampden Ave', 'Aurora, CO 80014']}","{'latitude': 39.65267, 'longitude': -104.812142}",Denver
"['Breweries', 'Wine Tours']",Mile High Tap Tours,5.0,5,"{'address1': '3445 S Bdwy', 'address2': None, 'address3': '', 'city': 'Englewood', 'zip_code': '80113', 'country': 'US', 'state': 'CO', 'display_address': ['3445 S Bdwy', 'Englewood, CO 80113']}","{'latitude': 39.654156, 'longitude': -104.988047}",Denver
['Breweries'],Reverence Brewing Company,5.0,22,"{'address1': '1604 E 17th Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80218', 'country': 'US', 'state': 'CO', 'display_address': ['1604 E 17th Ave', 'Denver, CO 80218']}","{'latitude': 39.74314719928984, 'longitude': -104.9681378863346}",Denver
['Brewpubs'],Boombox Brew Bar,5.0,21,"{'address1': '5686 N Pecos St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80221', 'country': 'US', 'state': 'CO', 'display_address': ['5686 N Pecos St', 'Denver, CO 80221']}","{'latitude': 39.80025, 'longitude': -105.00598}",Denver
['Breweries'],Launch Pad Brewery,5.0,165,"{'address1': '884 S Buckley Rd', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80017', 'country': 'US', 'state': 'CO', 'display_address': ['884 S Buckley Rd', 'Aurora, CO 80017']}","{'latitude': 39.70073, 'longitude': -104.78983}",Denver
['Breweries'],Cohesion Brewing Company,5.0,24,"{'address1': '3851 Steele St', 'address2': 'Unit 1388', 'address3': None, 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['3851 Steele St', 'Unit 1388', 'Denver, CO 80205']}","{'latitude': 39.76969, 'longitude': -104.95752}",Denver
"['Breweries', 'Beer Bar']",Cerveceria Colorado,4.5,83,"{'address1': '1635 Platte St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1635 Platte St', 'Denver, CO 80202']}","{'latitude': 39.75802, 'longitude': -105.00748}",Denver
['Breweries'],Lady Justice Brewing,4.5,24,"{'address1': '9735 E Colfax Ave', 'address2': '', 'address3': None, 'city': 'Aurora', 'zip_code': '80010', 'country': 'US', 'state': 'CO', 'display_address': ['9735 E Colfax Ave', 'Aurora, CO 80010']}","{'latitude': 39.7404187, 'longitude': -104.8746394}",Denver
['Breweries'],Colorado Sake,4.5,197,"{'address1': '3559 Larimer St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['3559 Larimer St', 'Denver, CO 80205']}","{'latitude': 39.7676181, 'longitude': -104.9739106}",Denver
['Brewpubs'],The Empourium Brewing Company,4.5,47,"{'address1': '4385 W 42nd Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['4385 W 42nd Ave', 'Denver, CO 80212']}","{'latitude': 39.773876, 'longitude': -105.0438248}",Denver
"['Breweries', 'Beer Bar']",Peak View Brewing,4.5,103,"{'address1': '9672 E Arapahoe Rd', 'address2': '', 'address3': None, 'city': 'Greenwood Village', 'zip_code': '80112', 'country': 'US', 'state': 'CO', 'display_address': ['9672 E Arapahoe Rd', 'Greenwood Village, CO 80112']}","{'latitude': 39.59443, 'longitude': -104.87683}",Denver
"['Coffee & Tea', 'Brewpubs', 'Bagels']",Altimeter Coffee Co.,4.5,44,"{'address1': '4499 W 38th Ave', 'address2': 'Ste 101', 'address3': None, 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['4499 W 38th Ave', 'Ste 101', 'Denver, CO 80212']}","{'latitude': 39.76962, 'longitude': -105.044861}",Denver
"['Brewpubs', 'Beer Gardens']",Satire Brewing Company,4.5,88,"{'address1': '12136 Grant Cir', 'address2': '', 'address3': None, 'city': 'Thornton', 'zip_code': '80241', 'country': 'US', 'state': 'CO', 'display_address': ['12136 Grant Cir', 'Thornton, CO 80241']}","{'latitude': 39.91715, 'longitude': -104.98314}",Denver
['Breweries'],Public Offering Brewing Company,4.5,12,"{'address1': '1736 S Broadway', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80210', 'country': 'US', 'state': 'CO', 'display_address': ['1736 S Broadway', 'Denver, CO 80210']}","{'latitude': 39.6850295, 'longitude': -104.987349}",Denver
"['Brewpubs', 'Beer Bar']",Bent Barley Brewing Company,4.5,48,"{'address1': '6200 South Main St', 'address2': 'Ste J-110', 'address3': '', 'city': 'Aurora', 'zip_code': '80016', 'country': 'US', 'state': 'CO', 'display_address': ['6200 South Main St', 'Ste J-110', 'Aurora, CO 80016']}","{'latitude': 39.604406, 'longitude': -104.708197}",Denver
"['Brewpubs', 'Barbeque', 'Sports Bars']",A Bit Twisted Brewpub & BBQ,4.5,52,"{'address1': '3095 South Peoria St', 'address2': 'Unit 8', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['3095 South Peoria St', 'Unit 8', 'Aurora, CO 80014']}","{'latitude': 39.66075, 'longitude': -104.84791}",Denver
['Breweries'],Danico Brewing Company,4.5,22,"{'address1': '18490 E 66th Ave', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80249', 'country': 'US', 'state': 'CO', 'display_address': ['18490 E 66th Ave', 'Denver, CO 80249']}","{'latitude': 39.81614539556143, 'longitude': -104.772688}",Denver
